INFO  - 2015-04-03 22:24:42.889; org.apache.solr.handler.admin.CoreAdminHandler; core create command numShards=2&shard=shard1&collection.configName=gettingstarted&name=gettingstarted_shard1_replica1&action=CREATE&collection=gettingstarted&wt=javabin&qt=/admin/cores&version=2
INFO  - 2015-04-03 22:24:42.904; org.apache.solr.cloud.ZkController; publishing core=gettingstarted_shard2_replica1 state=down collection=gettingstarted
INFO  - 2015-04-03 22:24:42.911; org.apache.solr.cloud.ZkController; publishing core=gettingstarted_shard1_replica1 state=down collection=gettingstarted
INFO  - 2015-04-03 22:24:42.930; org.apache.solr.cloud.ZkController; Registering watch for external collection gettingstarted
INFO  - 2015-04-03 22:24:42.931; org.apache.solr.common.cloud.ZkStateReader; addZkWatch gettingstarted
INFO  - 2015-04-03 22:24:42.932; org.apache.solr.common.cloud.ZkStateReader; Updating collection state at /collections/gettingstarted/state.json from ZooKeeper... 
INFO  - 2015-04-03 22:24:42.933; org.apache.solr.cloud.ZkController; Registering watch for external collection gettingstarted
INFO  - 2015-04-03 22:24:42.940; org.apache.solr.common.cloud.ZkStateReader; Updating data for gettingstarted to ver 1 
INFO  - 2015-04-03 22:24:42.941; org.apache.solr.cloud.ZkController; look for our core node name
INFO  - 2015-04-03 22:24:42.941; org.apache.solr.cloud.ZkController; look for our core node name
INFO  - 2015-04-03 22:24:42.954; org.apache.solr.common.cloud.ZkStateReader$7; A cluster state change: WatchedEvent state:SyncConnected type:NodeDataChanged path:/collections/gettingstarted/state.json, has occurred - updating... 
INFO  - 2015-04-03 22:24:42.956; org.apache.solr.common.cloud.ZkStateReader; Updating data for gettingstarted to ver 2 
INFO  - 2015-04-03 22:24:43.945; org.apache.solr.cloud.ZkController; waiting to find shard id in clusterstate for gettingstarted_shard2_replica1
INFO  - 2015-04-03 22:24:43.945; org.apache.solr.cloud.ZkController; waiting to find shard id in clusterstate for gettingstarted_shard1_replica1
INFO  - 2015-04-03 22:24:43.946; org.apache.solr.cloud.ZkController; Check for collection zkNode:gettingstarted
INFO  - 2015-04-03 22:24:43.948; org.apache.solr.cloud.ZkController; Check for collection zkNode:gettingstarted
INFO  - 2015-04-03 22:24:43.950; org.apache.solr.cloud.ZkController; Collection zkNode exists
INFO  - 2015-04-03 22:24:43.950; org.apache.solr.cloud.ZkController; Collection zkNode exists
INFO  - 2015-04-03 22:24:43.951; org.apache.solr.common.cloud.ZkStateReader; Load collection config from:/collections/gettingstarted
INFO  - 2015-04-03 22:24:43.952; org.apache.solr.common.cloud.ZkStateReader; Load collection config from:/collections/gettingstarted
INFO  - 2015-04-03 22:24:43.953; org.apache.solr.common.cloud.ZkStateReader; path=/collections/gettingstarted configName=gettingstarted specified config exists in ZooKeeper
